unique_key,date,month,monthly_booking_value
2022-10-01,2022-10-01,2022-10-01,6751.8
2022-11-01,2022-11-01,2022-11-01,24558.72
2022-12-01,2022-12-01,2022-12-01,26108.52
2023-01-01,2023-01-01,2023-01-01,25217.35
2023-02-01,2023-02-01,2023-02-01,23217.78
2023-03-01,2023-03-01,2023-03-01,24861.12
2023-04-01,2023-04-01,2023-04-01,24808.42
2023-05-01,2023-05-01,2023-05-01,25157.89
2023-06-01,2023-06-01,2023-06-01,24810.98
2023-07-01,2023-07-01,2023-07-01,25363.46
2023-08-01,2023-08-01,2023-08-01,25683.07
2023-09-01,2023-09-01,2023-09-01,24599.3
2023-10-01,2023-10-01,2023-10-01,19217.14
